_c0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd,review_text_clean,review_id,updated_at
377174,5069912549,2,0.0,0.5,2,1,1,2021-10-10,"This had a really weird smell.... almost like it was expired or old (which it wasn’t). It was lightly moisturizing but nothing game changing, and was kind of tacky too. Used it all, but only in a pinch when nothing else was around. Wouldn’t repurchase or suggest it to any of my friends.",Odd smell,fair,blue,dry,blonde,P381030,Dramatically Different Moisturizing Lotion+,CLINIQUE,32.5,"this had a really weird smell.... almost like it was expired or old (which it wasn’t). it was lightly moisturizing but nothing game changing, and was kind of tacky too. used it all, but only in a pinch when nothing else was around. wouldn’t repurchase or suggest it to any of my friends.",0003422390ecfbe705903f7d1c907cc1aadb33db,
65979,7396182055,4,,0.75,4,1,3,2017-03-17,I got a sample of this..it may hurt the pocket but i like it. Definitely want a full size and also want to try my products from this brand.,,,,,,P416139,Mini C.E.O. Vitamin C Brightening Rich Hydration Moisturizer,Sunday Riley,65.0,i got a sample of this..it may hurt the pocket but i like it. definitely want a full size and also want to try my products from this brand.,00036a00258a3a7bee2fffd2cb17b9525a12ee4f,
6865,1311651928,3,0.0,,0,0,0,2020-08-24,"As a health care professional, I have a lot of mixed feelings about supplements. This industry is very poorly regulated, and many times we take supplements that we don’t even need and waste a lot of money doing so. This supplement definitely feels unnecessary to me, and it is overpriced for what it is. While Hum beauty drink supplements have fun flavors, this product reminded me too much of Emergen-c. Even if price is not a determining factor for you, there are other drink mixes out there that deliver  more. I would not recommend this unless you truly enjoy it for the taste.",Overpriced Emergen-C,lightMedium,brown,combination,brown,P459300,Mini GOOPGLOW Morning Skin Superpowder,goop,12.0,"as a health care professional, i have a lot of mixed feelings about supplements. this industry is very poorly regulated, and many times we take supplements that we don’t even need and waste a lot of money doing so. this supplement definitely feels unnecessary to me, and it is overpriced for what it is. while hum beauty drink supplements have fun flavors, this product reminded me too much of emergen-c. even if price is not a determining factor for you, there are other drink mixes out there that deliver more. i would not recommend this unless you truly enjoy it for the taste.",0003d08a93220fa363e0f941726524f5bf3c3c73,
324137,10145768001,5,1.0,,0,0,0,2017-09-17,"I love this cleanser, my face is more clear without pimples !",,,,,,P440651,Mini Acne Control Clarifying Cleanser,Murad,14.0,"i love this cleanser, my face is more clear without pimples !",0004145b4de9d270ae067216728cd5f69668d175,
21458,7026329578,5,,,0,0,0,2015-09-28,This washed off all makeup and very gentle on my skin. I have sensitive skin and this was great. Made skin feel soft.,Love,,,combination,,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0,this washed off all makeup and very gentle on my skin. i have sensitive skin and this was great. made skin feel soft.,0004148a9e27d390ee07cb643077d0fadfeb2960,
260625,22294205096,5,1.0,0.0,1,1,0,2019-03-15,I’ve been struggling with cystic acne for sometime now and it’s finally started to calm down but the scarring and uneven skin tone seemed like it was here to stay. That is until I found this amazing product! Within just a week I’ve noticed more even skin tone and it even helps with those “bumps” that aren’t quite pimples but kind of are? Slight tingling when using but nothing harsh or unbearable. Definitely will be staying in my nightly skincare routine.,,light,brown,combination,brown,P439061,Glow2OH Dark Spot Toner,OLEHENRIKSEN,35.0,i’ve been struggling with cystic acne for sometime now and it’s finally started to calm down but the scarring and uneven skin tone seemed like it was here to stay. that is until i found this amazing product! within just a week i’ve noticed more even skin tone and it even helps with those “bumps” that aren’t quite pimples but kind of are? slight tingling when using but nothing harsh or unbearable. definitely will be staying in my nightly skincare routine.,00041b1a21ef0ebe2cc684a66e218750a163d486,
182929,10540906671,5,1.0,0.5,2,1,1,2020-09-19,Can I just say wow!!!! I have been using this seem for over a month now and I can’t get enough of it! I am a shook! It is so smooth on my skin. I use it as a primer as well and I am an oily skinned girl. The formula is awesome and it just makes my skin glow. This will continue to be in my skin care regiment.,Flawless skin,rich,brown,combination,black,P460779,Skinlongevity Long Life Herb Anti-Aging Face Serum,bareMinerals,65.0,can i just say wow!!!! i have been using this seem for over a month now and i can’t get enough of it! i am a shook! it is so smooth on my skin. i use it as a primer as well and i am an oily skinned girl. the formula is awesome and it just makes my skin glow. this will continue to be in my skin care regiment.,000457e8cd59a23ed9b764341909d6121e6e1565,
526719,10950416396,5,1.0,,0,0,0,2018-08-03,the best cc cream ever!! ir is super lightweight and covers about every imperfection!!,,lightMedium,brown,oily,brown,P433435,CC+ Cream Oil-Free Matte with SPF 40,IT Cosmetics,44.0,the best cc cream ever!! ir is super lightweight and covers about every imperfection!!,00046bd49d7a71caa8e76f751cccd120efcc5e83,
348935,8479383242,5,1.0,,0,0,0,2019-12-15,I will only and forever use tatcha in my skincare routine . this brand has totally changed my skin for the better and it has been nothing but good to my skin. i use this cleanser and the water cream and my combination skin ( very textured and acne scars ) improved. no other product has been able to show results like tatcha . worth every penny !,FOREVER IN MY SKINCARE ROUTINE,mediumTan,hazel,combination,red,P427536,The Deep Cleanse Gentle Exfoliating Cleanser,Tatcha,40.0,i will only and forever use tatcha in my skincare routine . this brand has totally changed my skin for the better and it has been nothing but good to my skin. i use this cleanser and the water cream and my combination skin ( very textured and acne scars ) improved. no other product has been able to show results like tatcha . worth every penny !,00054e6ff2fd5c2d37065c48d6e0957b284abb6c,
72907,2478171550,5,1.0,1.0,1,0,1,2023-02-03,I’m in love! I use this as a primer after seeing a video being used that way. My makeup has NEVER looked so good or stayed in place all day with any other primer. I was using the Milk Hydro Grip primer but it doesn’t even come close to how well this works. I love it! AND it’s much more cost effective.,LOVE!,light,blue,combination,brunette,P443830,Polyglutamic Acid Hydrating Serum,The INKEY List,14.99,i’m in love! i use this as a primer after seeing a video being used that way. my makeup has never looked so good or stayed in place all day with any other primer. i was using the milk hydro grip primer but it doesn’t even come close to how well this works. i love it! and it’s much more cost effective.,00054fb6f53c9345a90e4a1586046c96d353b34e,
539772,24052068756,5,1.0,,0,0,0,2019-09-30,I really like that this Cream is a bit thicker than most face creams. Goes on very easily and feels very cool on my skin. It doesn’t bother my sensitive skin which is great!,,light,hazel,dry,brown,P411539,Cicapair Tiger Grass Cream,Dr. Jart+,49.0,i really like that this cream is a bit thicker than most face creams. goes on very easily and feels very cool on my skin. it doesn’t bother my sensitive skin which is great!,0005560f4ca1f9e4559b4f0353d8a0466b5ceeed,
171392,1307541735,5,,0.9206349849700928,63,5,58,2017-06-21,"I have used fruit acids for decades, so when I was sent a sample to test try this new Tatcha product, I was thrilled, as I use Tatcha exclusively. I love that it does not have a strong chemical odor like some of the fruit acid products I’ve used; this is calming AND effective, even on my 59 year old, very fair skin. I received a beautiful glow after 15 minutes of mask; Tatcha is the only line that completely calms my sensitive skin, even with fruit acids! So looking forward to the next treatment!",Best Fruit Acid Mask ever,,,,,P420699,Violet-C Radiance Mask,Tatcha,70.0,"i have used fruit acids for decades, so when i was sent a sample to test try this new tatcha product, i was thrilled, as i use tatcha exclusively. i love that it does not have a strong chemical odor like some of the fruit acid products i’ve used; this is calming and effective, even on my 59 year old, very fair skin. i received a beautiful glow after 15 minutes of mask; tatcha is the only line that completely calms my sensitive skin, even with fruit acids! so looking forward to the next treatment!",0005c1c0f824408877d7f62e62474f0b67e780d5,
338250,30783668835,1,0.0,0.4117650091648102,17,10,7,2021-03-14,To be honest this one doesn’t work ! Don’t waste your money really ...,DONT WASTE YOUR MONEY,fair,green,normal,black,P461159,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex Serum,Estée Lauder,115.0,to be honest this one doesn’t work ! don’t waste your money really ...,0005cbdbd461eb1a6aa47400679e116beb629f27,
172225,2002270459,5,,,0,0,0,2011-11-27,I loveeeeee this gel! the gel is great for combination skin leaving its fresh and moisturized! It helps clear up imperfections. It is now a part of my daily face routine and will never go without it. Its a lifer product!,LIFETIME CUSTOMER,lightMedium,,combination,,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5,i loveeeeee this gel! the gel is great for combination skin leaving its fresh and moisturized! it helps clear up imperfections. it is now a part of my daily face routine and will never go without it. its a lifer product!,0006b8e2ea27f63d33281e667123f13393651494,
40768,1647033508,1,0.0,0.8333330154418945,6,1,5,2022-07-04,"I really had high hopes for this product. I bought this in the original and the buff brush. I followed the instructions step by step . Misted it on face , neck and arms and buff it out with the brush . I was deeply disappointed when the color developed after a few hours. Super Orange ! And yes it smells just like fake tan. The smell still lingers the next day. When I washed my face this morning my white towel got stained. I spent over $54 for the tanning mist and brush just look orange ! The only difference is you get hyaluronic acid , vitamins, glitter and fancy packaging from other products on the market.",ORANGE!,fair,blue,oily,blonde,P500445,Prep Set Tan Tanning Mist with Hyaluronic Acid,Iconic London,29.0,"i really had high hopes for this product. i bought this in the original and the buff brush. i followed the instructions step by step . misted it on face , neck and arms and buff it out with the brush . i was deeply disappointed when the color developed after a few hours. super orange ! and yes it smells just like fake tan. the smell still lingers the next day. when i washed my face this morning my white towel got stained. i spent over $54 for the tanning mist and brush just look orange ! the only difference is you get hyaluronic acid , vitamins, glitter and fancy packaging from other products on the market.",0006df9e0a5009e0336888d22c48dca8a1640a14,
272431,10250125567,5,1.0,,0,0,0,2017-10-26,#MyCaudalieBirthday #contest @Caudalie @Influenster besides entering for the contest I am really loving the glow it brought to my face.,,medium,brown,oily,black,P94421,Vinoperfect Radiance Dark Spot Serum Vitamin C Alternative,Caudalie,82.0,#mycaudaliebirthday #contest @caudalie @influenster besides entering for the contest i am really loving the glow it brought to my face.,00079f05f7a5c1edc749cd662ed3be1eb53c9dd9,
62909,1193412624,4,1.0,,0,0,0,2018-08-30,I am a huge fan of the aqua bomb products from belif and this one did not disappoint! I love how my skin feels after applying it and when I wake up in the morning not only does it look refreshed but it still has that amazing moisturized feeling. It doesn’t have a greasy feelingOr like it’s just smearing all over my pillows which I love as well.,,mediumTan,brown,combination,brown,P433443,Aqua Bomb Sleeping Mask,belif,38.0,i am a huge fan of the aqua bomb products from belif and this one did not disappoint! i love how my skin feels after applying it and when i wake up in the morning not only does it look refreshed but it still has that amazing moisturized feeling. it doesn’t have a greasy feelingor like it’s just smearing all over my pillows which i love as well.,0008274e47245193821bd7be984c934a67f48d5b,
67289,6891574083,4,1.0,0.6000000238418579,5,2,3,2023-02-12,Really enjoy the packaging and product but find this isn’t moisturizing enough for winter months,Yes but not for winter,light,hazel,dry,blonde,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0,really enjoy the packaging and product but find this isn’t moisturizing enough for winter months,0008f74ce30177c236b4835894d1e7a2982c96ef,
525224,1472152457,1,,1.0,3,0,3,2013-02-05,"I tried this night cream because I’ve recently noticed more sun/age spots on my skin. I really like the way this smells (a bit floral) and it tingles a bit as soon as you apply it, which I often associate with ’working’. The reason for the one star is that it made me break out like crazy, I’ve never had acne, and I couldn’t figure out where the breakouts were originating. After some research I learned that people with sensitive skin can often have adverse reaction to Vitamin C which can be harsh. I stopped using it & my skin cleared up!! Beware if you have sensitive skin!!",Didn't work for me,,,,,P456418,Wild Rose Night-Brightening Sleeping Facial,KORRES,50.0,"i tried this night cream because i’ve recently noticed more sun/age spots on my skin. i really like the way this smells (a bit floral) and it tingles a bit as soon as you apply it, which i often associate with ’working’. the reason for the one star is that it made me break out like crazy, i’ve never had acne, and i couldn’t figure out where the breakouts were originating. after some research i learned that people with sensitive skin can often have adverse reaction to vitamin c which can be harsh. i stopped using it & my skin cleared up!! beware if you have sensitive skin!!",000925ca298736f349aae31d7b2aee08d6ddf2a1,
115074,6626639129,5,1.0,,0,0,0,2022-06-30,"Aside from it’s overall long term benefits of anti-aging and skin strengthening, I’ve noticed my overall complexion clear and brighten up! I usually have hyperpigmentation, and it’s become unnoticeable. I’m also faithful to the adaptogen cream because I enjoy thicker hydrating creams, so overall, I really like this cream. It absorbs into my face nicely and definitely hydrates well. Excited to incorporate it into my YTTP routine and continue to see it’s benefits.",YTTP wizardary,medium,brown,combination,brown,P500138,Polypeptide-121 Future Cream with Peptides and Ceramides,Youth To The People,68.0,"aside from it’s overall long term benefits of anti-aging and skin strengthening, i’ve noticed my overall complexion clear and brighten up! i usually have hyperpigmentation, and it’s become unnoticeable. i’m also faithful to the adaptogen cream because i enjoy thicker hydrating creams, so overall, i really like this cream. it absorbs into my face nicely and definitely hydrates well. excited to incorporate it into my yttp routine and continue to see it’s benefits.",000951f732b2de4bbb1429a33ba734e05a615960,
222514,9304843519,5,1.0,0.857142984867096,7,1,6,2022-07-29,"I love ! I never take the time to leave a review & im a lazy person when it comes to skin care .My skin was pretty dry that I was starting to get a couple of wrinkles on my forehead , I used this once along w all the other “the ordinary” products & it made my skin look super healthy and my wrinkle kinda disappeared the first time I used this *my wrinkles were mild *barley forming* my boyfriend was asking me what I had put on my face since it was glowing .These products are not expensive and they are honestly worth having , I’m obsessed <3",buy !,fair,brown,combination,brown,P442563,AHA 30% + BHA 2% Exfoliating Peeling Solution,The Ordinary,9.5,"i love ! i never take the time to leave a review & im a lazy person when it comes to skin care .my skin was pretty dry that i was starting to get a couple of wrinkles on my forehead , i used this once along w all the other “the ordinary” products & it made my skin look super healthy and my wrinkle kinda disappeared the first time i used this *my wrinkles were mild *barley forming* my boyfriend was asking me what i had put on my face since it was glowing .these products are not expensive and they are honestly worth having , i’m obsessed <3",00096333619c641fea7ff84e28652f8130c49b45,
62117,25443974166,5,1.0,,0,0,0,2020-03-09,"I love this product!  Not only does it control oil (which is does well at!), but it helps reduce redness!  I have Lupus and my face is always a shade a red, that isn’t easy to cover.  I have tried many things to help reduce the red, but nothing has worked nearly as well as this!  I love it.  I will continue to use this product daily.  Another bonus is how soft my skin feels now and how healthy it looks.  Highly recommend!!",,fair,brown,combination,blonde,P446942,Niacinamide Oil Control Serum,The INKEY List,9.99,"i love this product! not only does it control oil (which is does well at!), but it helps reduce redness! i have lupus and my face is always a shade a red, that isn’t easy to cover. i have tried many things to help reduce the red, but nothing has worked nearly as well as this! i love it. i will continue to use this product daily. another bonus is how soft my skin feels now and how healthy it looks. highly recommend!!",0009e4e503d5e5efd3e7cd963062b4bd8f3be325,
40236,21779828958,5,1.0,,0,0,0,2022-01-31,"This is one of the best retinol serums I’ve ever tried, and would be suitable for retinol beginners as well. Has made a noticeable difference in my skin in just a few uses. I would not use daily if you have sensitive skin or are new to retinol. Definitely recommend!",,fairLight,green,dry,red,P411365,Retinol Youth Renewal Serum,Murad,92.0,"this is one of the best retinol serums i’ve ever tried, and would be suitable for retinol beginners as well. has made a noticeable difference in my skin in just a few uses. i would not use daily if you have sensitive skin or are new to retinol. definitely recommend!",000a2581f2a6338ab6e52c5e4a2be5003497dd5c,
15904,1043341645,3,,,0,0,0,2017-08-21,"While this stuff feels great on your lips and the little spatula thingy is cool, I’ve yet to see any plumping or notice any difference in dryness over using my usual cheap nighttime lip treatment.",Good but not great,,,,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"while this stuff feels great on your lips and the little spatula thingy is cool, i’ve yet to see any plumping or notice any difference in dryness over using my usual cheap nighttime lip treatment.",000a8d21a530887f20b11bc8fefb6101da1b1232,
198573,1258838808,5,,1.0,5,0,5,2016-08-16,"I’ve only used this serum for a few weeks, but I can tell you that I love it!  It is a thick gel (thicker than the DE Firma C serum) and the directions say to shake it before using to redistribute the ingredients.  I use this at night 2-4 times a week.  I apply it, let it sink in for 1-2 minutes while I finish getting ready for bed, and apply my moisturizer on top.  After a few weeks of this serum + the Firma C serum (in the mornings, under regular moisturizer), my skin has noticeably cleared up (less persistent acne - I still get hormonal or stress related breakouts, but that’s to be expected), become more evenly toned (fewer red blotches and faint acne scars!), and has a more consistent and smooth texture (smaller looking nose pores!).  I haven’t seen this level of results with any other product, including prescription medications.  I also love the company’s principle of not adding unnecessary ingredients and how well they package the product (to keep the active ingredients as fresh and active as possible).  I also think the bottles are fantastic design, great for every day use at home or for travel. I love DE!",Best Skin Ever,,,,,P392246,T.L.C. Framboos Glycolic Resurfacing Night Serum,Drunk Elephant,90.0,"i’ve only used this serum for a few weeks, but i can tell you that i love it! it is a thick gel (thicker than the de firma c serum) and the directions say to shake it before using to redistribute the ingredients. i use this at night 2-4 times a week. i apply it, let it sink in for 1-2 minutes while i finish getting ready for bed, and apply my moisturizer on top. after a few weeks of this serum + the firma c serum (in the mornings, under regular moisturizer), my skin has noticeably cleared up (less persistent acne - i still get hormonal or stress related breakouts, but that’s to be expected), become more evenly toned (fewer red blotches and faint acne scars!), and has a more consistent and smooth texture (smaller looking nose pores!). i haven’t seen this level of results with any other product, including prescription medications. i also love the company’s principle of not adding unnecessary ingredients and how well they package the product (to keep the active ingredients as fresh and active as possible). i also think the bottles are fantastic design, great for every day use at home or for travel. i love de!",000a9d8d3b913ddac57ac382c01ba0cbb9670a3e,
457104,1675410932,4,1.0,0.0,1,1,0,2020-03-19,"I love that it doesn’t dry out your skin even though it’s an exfoliator. However, you have to run it in for at least two minutes to really exfoliate.",,deep,brown,oily,black,P450917,Mini FIRMx Exfoliating Peel Gel,Peter Thomas Roth,16.0,"i love that it doesn’t dry out your skin even though it’s an exfoliator. however, you have to run it in for at least two minutes to really exfoliate.",000aa792599623fdd6569cdfe7647d1be9a19b23,
2780,1017641991,5,1.0,0.9420289993286132,69,4,65,2020-05-12,"I am in love after one steam! I had debated on this for months due to the price. I finally asked for it from my BF for my birthday and he delivered! As soon as you take it out of the box, you can tell how well it is made. Very sturdy, yet I could see this as something easy to pack if you are traveling with it. The reservoir is small and the steam will stop after about 8 minutes or so no need to time yourself. I hear others complain of a plastic smell, I do smell it too but it does not bother me. I like that the steam is so strong (but doesn’t burn you) that you don’t even have to place a towel over your head, the steam is powerful. It’s nice to sit upright and just let the steam do it’s thing (I used to boil water on the stove and bend over with a towel to steam, this is so much better). I bought the mini peels to go along with this and I used the PC serum and it worked out beautifully. My face feels so hydrated and refreshed and it helped me sinuses. I am very pleased with this product. Buy it if you are on the fence. You won’t be disappointed. This looks like a product that will last years with the proper care of course.",Invest in your skin!,light,blue,combination,blonde,P413613,Pro Facial Steamer,Dr. Dennis Gross Skincare,159.0,"i am in love after one steam! i had debated on this for months due to the price. i finally asked for it from my bf for my birthday and he delivered! as soon as you take it out of the box, you can tell how well it is made. very sturdy, yet i could see this as something easy to pack if you are traveling with it. the reservoir is small and the steam will stop after about 8 minutes or so no need to time yourself. i hear others complain of a plastic smell, i do smell it too but it does not bother me. i like that the steam is so strong (but doesn’t burn you) that you don’t even have to place a towel over your head, the steam is powerful. it’s nice to sit upright and just let the steam do it’s thing (i used to boil water on the stove and bend over with a towel to steam, this is so much better). i bought the mini peels to go along with this and i used the pc serum and it worked out beautifully. my face feels so hydrated and refreshed and it helped me sinuses. i am very pleased with this product. buy it if you are on the fence. you won’t be disappointed. this looks like a product that will last years with the proper care of course.",000aa958054a24b590c87110107cd3b5e863e3c9,
120476,10836519964,4,1.0,1.0,2,0,2,2020-03-21,"I remember hearing about this product from a coworker who described it as being “just baking soda“  Boy was she wrong!  This gentle exfoliator is pretty awesome and a little goes a long way so it’s actually a pretty good value.  In my experience my skin appeared to get worse as far as peeling and dryness after I started using it, but this was nothing a good moisturizer couldn’t help.  Soon after I started noticing how soft and supple my skin felt.  I also really like how such a small amount really works once you mix in a little bit of water.  It’s really easy to use and does produce great results!  I can see why it gets so many awards and accolades!**This product was provided to me gratis by BzzAgent in exchange for my honest review**",Super gentle exfoliator!,light,green,combination,brown,P443352,Mini Daily Microfoliant Exfoliator,Dermalogica,18.0,"i remember hearing about this product from a coworker who described it as being “just baking soda“ boy was she wrong! this gentle exfoliator is pretty awesome and a little goes a long way so it’s actually a pretty good value. in my experience my skin appeared to get worse as far as peeling and dryness after i started using it, but this was nothing a good moisturizer couldn’t help. soon after i started noticing how soft and supple my skin felt. i also really like how such a small amount really works once you mix in a little bit of water. it’s really easy to use and does produce great results! i can see why it gets so many awards and accolades!**this product was provided to me gratis by bzzagent in exchange for my honest review**",000ab6b716de4e367694c9d99bb0956e69ccb295,
543408,5392684203,5,1.0,,0,0,0,2018-11-22,New essential in my skincare routine! Immediately noticed a difference in my skin. My pores seem less noticeable and it seemed to soothe my breakouts,,tan,brown,combination,black,P474938,Vinopure Natural Salicylic Acid Pore Minimizing Serum,Caudalie,52.0,new essential in my skincare routine! immediately noticed a difference in my skin. my pores seem less noticeable and it seemed to soothe my breakouts,000b8f77cbb90226464bf4009dc4757c4eb8b21a,
17335,5194229831,5,1.0,,0,0,0,2023-02-23,I received complimentary from Glow Recipe. I really love how my makeup looks when using this strawberry BHA smooth blur drops as a primer. I apply it after my skincare with my fingers and allowing it to absorb fully into my skin before applying my foundation. It works to blur my pores while controlling my the oil production in my skin. The scent is not overpowering and feels amazing. Best applied with fingers,Flawless Skin,tan,brown,combination,black,P504125,Strawberry BHA Pore-Smooth Blur Drops,Glow Recipe,32.0,i received complimentary from glow recipe. i really love how my makeup looks when using this strawberry bha smooth blur drops as a primer. i apply it after my skincare with my fingers and allowing it to absorb fully into my skin before applying my foundation. it works to blur my pores while controlling my the oil production in my skin. the scent is not overpowering and feels amazing. best applied with fingers,000be216f0008c0dea3400edf371f7e882b911c1,
